In Dalmatien und Venedig
In Österreich-Ungarn
Im Reich des Sonnenkönigs
Don-Ferrando-Serie
In Indien
Bei der Orang-Laut
Im japanischen Mittelalter
In China
Im mittelalterlichen Deutschland
In Griechenland
In Ägypten
Jagd nach Eldorado
Im Orient-Express
In Amerika
Im Japan derMeiji-Zeit
Auf Weltreise
Im Labyrinth der Zeit
Der Stein der Weisen
Gold und große Geister
Die erste Umsegelung Australiens
Die Jagd nach Sinclairs Schatz
Die Abrafaxe erobern das alte Rom
Das Ende des Mittelalters
Die Abrafaxe zur Zeit der Hanse
Abenteuer Ozeanien
Im Orient
